"Table 33. Had Serious Thoughts of Suicide in the Past Year: Among People Aged 18 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","",""
"Order","State","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)"
"15","Florida","4.52%","3.78%","5.40%","13.95%","11.35%","17.03%","3.33%","2.61%","4.24%"
"16","Georgia","4.70%","3.88%","5.69%","13.35%","10.63%","16.63%","3.32%","2.50%","4.39%"
"17","Hawaii","4.30%","3.24%","5.70%","11.46%","8.58%","15.15%","3.41%","2.33%","4.96%"
"18","Idaho","6.44%","5.09%","8.11%","14.72%","11.15%","19.19%","5.11%","3.74%","6.97%"
"19","Illinois","4.75%","3.89%","5.78%","12.26%","9.66%","15.45%","3.61%","2.76%","4.71%"
"20","Indiana","5.71%","4.66%","6.98%","15.38%","12.10%","19.36%","4.10%","3.06%","5.47%"
"21","Iowa","5.38%","4.33%","6.67%","13.65%","10.50%","17.56%","3.97%","2.93%","5.37%"
"22","Kansas","5.55%","4.51%","6.83%","12.48%","9.53%","16.17%","4.37%","3.31%","5.76%"
"23","Kentucky","5.20%","4.16%","6.49%","13.03%","10.00%","16.81%","3.99%","2.95%","5.40%"
"24","Louisiana","4.75%","3.76%","5.97%","11.08%","8.29%","14.66%","3.79%","2.78%","5.14%"
"25","Maine","4.29%","3.38%","5.45%","13.75%","10.42%","17.93%","3.13%","2.25%","4.34%"
"26","Maryland","4.18%","3.37%","5.18%","13.45%","10.24%","17.47%","2.86%","2.10%","3.88%"
"27","Massachusetts","4.01%","3.18%","5.03%","11.99%","9.08%","15.66%","2.72%","1.94%","3.80%"
"28","Michigan","5.21%","4.40%","6.16%","13.86%","11.33%","16.84%","3.87%","3.07%","4.88%"
"29","Minnesota","4.96%","3.94%","6.22%","13.48%","10.30%","17.45%","3.69%","2.69%","5.04%"
"30","Mississippi","4.59%","3.66%","5.74%","12.14%","9.18%","15.89%","3.38%","2.48%","4.59%"
"31","Missouri","5.06%","4.09%","6.24%","14.32%","11.04%","18.38%","3.65%","2.70%","4.92%"
"32","Montana","6.39%","4.99%","8.14%","13.82%","10.34%","18.23%","5.26%","3.82%","7.21%"
"33","Nebraska","6.28%","4.97%","7.90%","12.03%","9.13%","15.71%","5.30%","3.89%","7.17%"
"34","Nevada","5.69%","4.48%","7.19%","13.27%","10.17%","17.14%","4.67%","3.42%","6.33%"
"35","New Hampshire","4.56%","3.58%","5.77%","12.60%","9.55%","16.45%","3.42%","2.45%","4.75%"
"36","New Jersey","4.05%","3.26%","5.03%","13.71%","10.72%","17.38%","2.71%","1.96%","3.72%"
"37","New Mexico","4.68%","3.76%","5.80%","13.83%","10.46%","18.06%","3.27%","2.40%","4.42%"
"38","New York","3.90%","3.17%","4.79%","9.84%","7.69%","12.52%","3.03%","2.31%","3.97%"
"39","North Carolina","4.29%","3.46%","5.31%","12.28%","9.37%","15.94%","3.08%","2.29%","4.13%"
"40","North Dakota","6.45%","5.13%","8.09%","13.43%","10.32%","17.31%","5.17%","3.79%","7.01%"
"41","Ohio","5.04%","4.27%","5.95%","13.85%","11.42%","16.70%","3.71%","2.94%","4.68%"
"42","Oklahoma","5.17%","4.15%","6.42%","13.57%","10.36%","17.59%","3.78%","2.76%","5.14%"
"43","Oregon","5.77%","4.61%","7.20%","13.37%","10.33%","17.13%","4.71%","3.53%","6.25%"
"44","Pennsylvania","4.41%","3.65%","5.31%","13.69%","11.05%","16.84%","3.07%","2.34%","4.03%"
"45","Rhode Island","4.68%","3.68%","5.94%","12.54%","9.41%","16.52%","3.39%","2.42%","4.74%"
"46","South Carolina","4.04%","3.15%","5.18%","10.53%","7.79%","14.09%","3.11%","2.22%","4.34%"
"47","South Dakota","5.38%","4.19%","6.89%","12.77%","9.53%","16.91%","4.20%","2.99%","5.87%"
"48","Tennessee","4.55%","3.60%","5.73%","13.46%","10.37%","17.30%","3.23%","2.31%","4.50%"
"49","Texas","5.33%","4.50%","6.31%","12.01%","9.80%","14.64%","4.20%","3.35%","5.24%"
"50","Utah","6.32%","5.17%","7.69%","13.18%","10.00%","17.18%","4.82%","3.66%","6.32%"
"51","Vermont","5.29%","4.29%","6.51%","15.16%","11.94%","19.06%","3.70%","2.73%","5.00%"
"52","Virginia","4.30%","3.53%","5.23%","12.33%","9.92%","15.24%","3.08%","2.33%","4.06%"
"53","Washington","5.53%","4.43%","6.88%","15.08%","11.61%","19.36%","4.19%","3.11%","5.62%"
"54","West Virginia","4.83%","3.78%","6.15%","15.01%","11.57%","19.23%","3.41%","2.39%","4.84%"
"55","Wisconsin","5.06%","4.09%","6.23%","12.61%","9.84%","16.02%","3.88%","2.92%","5.15%"
"56","Wyoming","5.94%","4.63%","7.60%","13.37%","10.22%","17.30%","4.84%","3.48%","6.68%"
