"Table 35. Attempted Suicide in the Past Year: Among People Aged 18 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","",""
"Order","State","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)"
"36","New Jersey","0.46%","0.26%","0.82%","2.05%","1.27%","3.31%","0.24%","0.09%","0.61%"
"37","New Mexico","0.98%","0.61%","1.55%","3.74%","2.31%","6.00%","0.55%","0.27%","1.13%"
"38","New York","0.60%","0.37%","0.97%","2.50%","1.65%","3.78%","0.32%","0.15%","0.70%"
"39","North Carolina","0.72%","0.45%","1.16%","2.37%","1.53%","3.66%","0.47%","0.24%","0.94%"
"40","North Dakota","0.60%","0.35%","1.04%","1.60%","0.96%","2.65%","0.42%","0.19%","0.91%"
"41","Ohio","0.61%","0.39%","0.94%","2.56%","1.70%","3.82%","0.31%","0.15%","0.64%"
"42","Oklahoma","1.02%","0.64%","1.63%","2.73%","1.70%","4.35%","0.74%","0.39%","1.41%"
"43","Oregon","0.60%","0.35%","1.04%","2.29%","1.41%","3.70%","0.37%","0.16%","0.83%"
"44","Pennsylvania","0.50%","0.30%","0.81%","2.25%","1.49%","3.40%","0.25%","0.11%","0.55%"
"45","Rhode Island","0.45%","0.24%","0.82%","2.21%","1.33%","3.64%","0.16%","0.05%","0.54%"
"46","South Carolina","0.73%","0.45%","1.17%","2.53%","1.56%","4.06%","0.47%","0.24%","0.93%"
"47","South Dakota","0.57%","0.34%","0.96%","1.74%","1.03%","2.92%","0.38%","0.18%","0.80%"
"48","Tennessee","0.77%","0.47%","1.26%","2.44%","1.52%","3.90%","0.52%","0.26%","1.07%"
"49","Texas","0.93%","0.62%","1.38%","3.03%","2.03%","4.50%","0.57%","0.31%","1.03%"
"50","Utah","0.57%","0.33%","0.97%","1.78%","1.08%","2.94%","0.29%","0.12%","0.72%"
"51","Vermont","0.42%","0.23%","0.77%","2.15%","1.30%","3.52%","0.14%","0.04%","0.48%"
"52","Virginia","0.53%","0.32%","0.87%","2.16%","1.37%","3.40%","0.28%","0.12%","0.63%"
"53","Washington","0.65%","0.40%","1.05%","2.58%","1.62%","4.10%","0.38%","0.18%","0.81%"
"54","West Virginia","0.56%","0.32%","0.99%","2.17%","1.33%","3.52%","0.34%","0.14%","0.79%"
"55","Wisconsin","0.49%","0.30%","0.81%","2.37%","1.51%","3.70%","0.20%","0.08%","0.51%"
"56","Wyoming","0.75%","0.44%","1.27%","1.99%","1.22%","3.24%","0.57%","0.27%","1.16%"
