"Table 8. Perceptions of Great Risk from Using Cocaine Once a Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"18","Idaho","63.91%","59.33%","68.25%","49.57%","43.98%","55.17%","56.45%","49.79%","62.88%","67.12%","61.55%","72.25%","65.64%","60.54%","70.41%"
"19","Illinois","65.28%","62.09%","68.34%","49.16%","44.51%","53.83%","60.45%","55.68%","65.03%","67.94%","64.06%","71.59%","66.95%","63.41%","70.31%"
"20","Indiana","67.83%","64.39%","71.09%","50.03%","44.60%","55.46%","59.97%","54.55%","65.15%","71.41%","67.12%","75.34%","69.77%","65.93%","73.35%"
"21","Iowa","64.28%","60.16%","68.20%","48.83%","43.19%","54.51%","56.14%","49.91%","62.18%","67.60%","62.56%","72.26%","65.93%","61.36%","70.22%"
"22","Kansas","66.26%","62.78%","69.57%","48.83%","43.51%","54.17%","56.73%","51.10%","62.20%","70.21%","65.92%","74.17%","68.24%","64.36%","71.88%"
"23","Kentucky","69.24%","65.58%","72.68%","51.78%","46.42%","57.09%","62.48%","56.73%","67.89%","72.39%","68.01%","76.37%","71.05%","67.04%","74.76%"
"24","Louisiana","70.82%","67.11%","74.26%","55.72%","50.39%","60.93%","65.11%","58.88%","70.87%","73.57%","69.13%","77.57%","72.45%","68.35%","76.20%"
"25","Maine","63.26%","58.89%","67.42%","51.80%","46.30%","57.27%","52.46%","46.25%","58.59%","65.68%","60.53%","70.48%","64.21%","59.46%","68.69%"
"26","Maryland","64.36%","60.53%","68.01%","48.87%","43.77%","54.00%","57.08%","51.15%","62.81%","67.19%","62.59%","71.48%","65.92%","61.71%","69.89%"
"27","Massachusetts","64.62%","60.51%","68.52%","47.91%","42.09%","53.79%","56.14%","49.95%","62.15%","67.70%","62.78%","72.25%","66.08%","61.59%","70.31%"
"28","Michigan","65.35%","62.80%","67.83%","49.03%","44.93%","53.15%","58.19%","53.87%","62.39%","68.32%","65.25%","71.23%","66.95%","64.17%","69.63%"
"29","Minnesota","57.53%","52.75%","62.17%","50.87%","45.11%","56.60%","49.60%","43.08%","56.14%","59.52%","53.74%","65.06%","58.23%","52.94%","63.33%"
"30","Mississippi","73.65%","70.05%","76.96%","52.98%","47.47%","58.41%","63.94%","57.50%","69.91%","77.93%","73.53%","81.78%","76.00%","71.94%","79.63%"
"31","Missouri","66.43%","62.30%","70.33%","50.03%","44.08%","55.97%","59.08%","52.92%","64.96%","69.51%","64.55%","74.05%","68.12%","63.56%","72.36%"
"32","Montana","66.06%","61.61%","70.24%","50.50%","44.16%","56.83%","55.78%","48.41%","62.89%","69.36%","64.08%","74.16%","67.57%","62.67%","72.11%"
"33","Nebraska","64.81%","61.18%","68.27%","47.14%","41.69%","52.65%","54.80%","48.97%","60.50%","68.88%","64.46%","72.98%","66.82%","62.78%","70.63%"
"34","Nevada","65.85%","61.90%","69.59%","49.19%","43.40%","55.01%","60.63%","54.41%","66.53%","68.49%","63.80%","72.82%","67.54%","63.20%","71.60%"
"35","New Hampshire","58.28%","53.54%","62.87%","49.79%","44.10%","55.50%","48.66%","42.41%","54.95%","60.47%","54.87%","65.81%","59.00%","53.86%","63.95%"
"36","New Jersey","66.63%","62.80%","70.26%","49.69%","44.60%","54.79%","56.14%","50.54%","61.58%","70.04%","65.37%","74.32%","68.33%","64.08%","72.29%"
"37","New Mexico","67.22%","63.10%","71.09%","49.32%","43.33%","55.32%","56.59%","50.06%","62.89%","71.07%","66.08%","75.60%","69.13%","64.55%","73.36%"
"38","New York","61.65%","58.73%","64.49%","48.97%","44.44%","53.51%","54.95%","50.55%","59.28%","63.95%","60.49%","67.28%","62.79%","59.62%","65.86%"
"39","North Carolina","67.52%","63.98%","70.87%","50.32%","45.74%","54.89%","59.76%","54.20%","65.07%","70.72%","66.49%","74.62%","69.27%","65.38%","72.90%"
"40","North Dakota","63.90%","59.60%","67.99%","47.25%","41.10%","53.48%","54.11%","47.79%","60.31%","67.80%","62.55%","72.63%","65.67%","60.92%","70.13%"
"41","Ohio","68.49%","65.95%","70.93%","47.65%","43.50%","51.84%","59.83%","55.51%","63.99%","72.24%","69.14%","75.15%","70.61%","67.81%","73.26%"
"42","Oklahoma","67.66%","63.62%","71.46%","52.18%","46.46%","57.84%","61.71%","55.37%","67.67%","70.69%","65.73%","75.19%","69.41%","64.87%","73.60%"
"43","Oregon","55.06%","50.63%","59.40%","49.67%","43.72%","55.64%","48.26%","41.94%","54.63%","56.57%","51.32%","61.68%","55.55%","50.73%","60.26%"
"44","Pennsylvania","63.98%","61.02%","66.83%","49.06%","44.72%","53.41%","57.65%","52.81%","62.35%","66.49%","62.91%","69.90%","65.37%","62.12%","68.48%"
"45","Rhode Island","65.57%","60.74%","70.09%","50.14%","43.54%","56.73%","60.81%","53.80%","67.40%","67.88%","62.19%","73.09%","66.88%","61.65%","71.73%"
"46","South Carolina","68.11%","63.92%","72.02%","52.76%","46.96%","58.49%","62.99%","56.89%","68.70%","70.60%","65.58%","75.17%","69.63%","65.03%","73.87%"
"47","South Dakota","66.33%","62.05%","70.37%","50.21%","44.16%","56.25%","58.10%","51.43%","64.50%","69.78%","64.53%","74.56%","68.16%","63.35%","72.62%"
"48","Tennessee","69.17%","64.94%","73.11%","54.60%","48.63%","60.44%","61.59%","55.46%","67.37%","72.00%","66.92%","76.58%","70.65%","65.97%","74.92%"
"49","Texas","68.43%","66.15%","70.64%","52.76%","48.80%","56.70%","61.40%","57.37%","65.27%","71.85%","69.01%","74.52%","70.32%","67.77%","72.76%"
"50","Utah","67.30%","64.11%","70.33%","52.06%","46.72%","57.35%","61.76%","56.08%","67.14%","71.12%","67.25%","74.71%","69.45%","65.93%","72.76%"
"51","Vermont","58.55%","54.66%","62.33%","48.64%","43.44%","53.86%","50.53%","44.74%","56.31%","60.79%","56.08%","65.30%","59.35%","55.13%","63.44%"
"52","Virginia","68.18%","65.30%","70.93%","50.36%","46.10%","54.61%","59.72%","55.09%","64.18%","71.53%","68.03%","74.79%","69.96%","66.80%","72.94%"
"53","Washington","61.67%","57.69%","65.51%","49.06%","43.31%","54.83%","54.95%","48.82%","60.94%","64.01%","59.26%","68.51%","62.89%","58.52%","67.06%"
"54","West Virginia","71.18%","66.83%","75.17%","50.07%","44.53%","55.61%","61.12%","55.05%","66.86%","74.81%","69.56%","79.41%","73.11%","68.31%","77.43%"
"55","Wisconsin","65.16%","61.64%","68.52%","50.84%","45.78%","55.89%","56.18%","50.83%","61.38%","68.23%","64.01%","72.17%","66.60%","62.74%","70.25%"
"56","Wyoming","64.67%","60.20%","68.90%","49.98%","43.86%","56.10%","57.75%","51.71%","63.56%","67.55%","62.12%","72.55%","66.27%","61.30%","70.91%"
