"Table 18. Tobacco Product Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Tobacco Products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or snus), cigars, or pipe tobacco.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"11","Colorado","18.29%","15.60%","21.32%","2.41%","1.52%","3.82%","18.05%","14.45%","22.32%","20.14%","16.87%","23.86%","19.87%","16.92%","23.18%"
"12","Connecticut","16.42%","13.52%","19.80%","2.68%","1.74%","4.10%","14.65%","11.14%","19.02%","18.22%","14.71%","22.35%","17.74%","14.58%","21.42%"
"13","Delaware","19.63%","16.37%","23.36%","2.87%","1.86%","4.40%","16.42%","12.78%","20.86%","21.86%","17.96%","26.33%","21.21%","17.66%","25.26%"
"14","District of Columbia","15.21%","12.35%","18.59%","2.47%","1.51%","4.02%","17.50%","13.26%","22.74%","15.78%","12.46%","19.78%","16.03%","12.99%","19.61%"
"15","Florida","17.85%","15.67%","20.25%","2.04%","1.35%","3.07%","13.91%","11.21%","17.15%","19.92%","17.32%","22.81%","19.24%","16.89%","21.84%"
"16","Georgia","22.04%","19.43%","24.90%","2.63%","1.81%","3.80%","17.12%","13.98%","20.80%","25.37%","22.10%","28.95%","24.23%","21.34%","27.38%"
"17","Hawaii","13.57%","10.86%","16.83%","2.43%","1.32%","4.42%","16.50%","12.48%","21.50%","14.35%","11.16%","18.28%","14.58%","11.64%","18.12%"
"18","Idaho","19.83%","16.44%","23.73%","2.94%","1.86%","4.61%","22.20%","17.30%","28.03%","21.82%","17.67%","26.63%","21.88%","18.09%","26.20%"
"19","Illinois","19.70%","17.21%","22.46%","3.21%","2.17%","4.72%","14.21%","11.34%","17.67%","22.51%","19.45%","25.89%","21.42%","18.69%","24.43%"
"20","Indiana","23.77%","20.64%","27.22%","2.60%","1.70%","3.97%","19.85%","16.17%","24.13%","27.12%","23.25%","31.37%","26.08%","22.63%","29.86%"
"21","Iowa","23.45%","20.04%","27.25%","4.00%","2.58%","6.16%","17.58%","13.80%","22.14%","26.89%","22.64%","31.62%","25.54%","21.78%","29.71%"
"22","Kansas","25.59%","22.43%","29.03%","3.12%","2.02%","4.78%","21.78%","17.72%","26.46%","29.24%","25.32%","33.50%","28.16%","24.66%","31.94%"
"23","Kentucky","33.16%","29.31%","37.24%","3.69%","2.34%","5.77%","25.68%","20.69%","31.41%","37.85%","33.11%","42.85%","36.22%","32.00%","40.68%"
"24","Louisiana","27.31%","23.56%","31.42%","2.96%","1.93%","4.51%","18.86%","14.59%","24.04%","31.64%","27.05%","36.62%","29.96%","25.82%","34.45%"
"25","Maine","21.06%","17.76%","24.79%","3.32%","1.97%","5.55%","22.88%","17.94%","28.71%","22.52%","18.67%","26.91%","22.55%","19.00%","26.56%"
"26","Maryland","16.31%","13.68%","19.33%","2.23%","1.45%","3.40%","14.86%","11.44%","19.10%","18.15%","14.97%","21.83%","17.74%","14.85%","21.04%"
"27","Massachusetts","15.82%","13.06%","19.03%","2.88%","1.85%","4.45%","12.20%","9.08%","16.22%","17.73%","14.38%","21.66%","16.96%","13.98%","20.43%"
"28","Michigan","21.93%","19.69%","24.35%","2.72%","1.88%","3.91%","19.03%","15.95%","22.53%","24.57%","21.83%","27.54%","23.83%","21.38%","26.47%"
"29","Minnesota","19.66%","16.37%","23.43%","3.87%","2.46%","6.02%","20.82%","16.59%","25.79%","21.43%","17.45%","26.03%","21.35%","17.74%","25.47%"
"30","Mississippi","25.42%","21.85%","29.37%","2.86%","1.79%","4.53%","19.48%","15.16%","24.66%","29.36%","24.93%","34.22%","28.00%","24.03%","32.34%"
"31","Missouri","27.93%","24.07%","32.16%","3.95%","2.58%","5.98%","25.00%","19.94%","30.84%","31.25%","26.55%","36.37%","30.42%","26.18%","35.02%"
"32","Montana","22.19%","18.59%","26.26%","3.70%","2.28%","5.94%","26.42%","20.57%","33.24%","23.63%","19.36%","28.52%","24.00%","20.08%","28.42%"
"33","Nebraska","20.37%","17.37%","23.73%","2.77%","1.80%","4.23%","17.86%","14.23%","22.17%","23.15%","19.44%","27.34%","22.38%","19.06%","26.10%"
"34","Nevada","21.03%","18.00%","24.43%","2.18%","1.36%","3.48%","19.09%","14.92%","24.08%","23.49%","19.84%","27.57%","22.96%","19.62%","26.68%"
"35","New Hampshire","18.41%","15.23%","22.09%","2.64%","1.62%","4.27%","18.76%","14.69%","23.63%","19.92%","16.13%","24.35%","19.77%","16.33%","23.73%"
"36","New Jersey","13.41%","11.06%","16.17%","1.97%","1.24%","3.11%","13.68%","10.73%","17.29%","14.69%","11.85%","18.06%","14.56%","11.99%","17.58%"
"37","New Mexico","21.63%","18.35%","25.31%","2.39%","1.38%","4.11%","21.17%","16.48%","26.76%","24.08%","20.08%","28.59%","23.69%","20.08%","27.72%"
"38","New York","16.34%","14.29%","18.62%","3.36%","2.32%","4.85%","13.66%","11.11%","16.68%","18.09%","15.62%","20.86%","17.52%","15.31%","19.99%"
"39","North Carolina","22.36%","19.32%","25.72%","2.44%","1.65%","3.61%","16.94%","13.30%","21.34%","25.52%","21.82%","29.61%","24.39%","21.06%","28.07%"
"40","North Dakota","24.51%","20.66%","28.81%","3.30%","2.06%","5.24%","27.94%","22.49%","34.12%","26.55%","21.86%","31.84%","26.78%","22.55%","31.47%"
"41","Ohio","25.67%","23.17%","28.34%","3.54%","2.49%","5.02%","19.40%","16.45%","22.74%","29.21%","26.14%","32.48%","27.92%","25.19%","30.84%"
"42","Oklahoma","26.15%","22.63%","30.00%","3.27%","2.12%","5.02%","22.86%","18.33%","28.11%","29.71%","25.33%","34.49%","28.74%","24.84%","32.98%"
"43","Oregon","19.20%","16.20%","22.61%","3.28%","2.13%","5.03%","21.96%","17.61%","27.02%","20.50%","16.90%","24.63%","20.67%","17.41%","24.36%"
"44","Pennsylvania","20.31%","17.83%","23.04%","3.28%","2.25%","4.76%","18.63%","15.45%","22.28%","22.39%","19.40%","25.69%","21.91%","19.22%","24.87%"
"45","Rhode Island","18.37%","15.02%","22.27%","2.79%","1.82%","4.24%","16.51%","12.43%","21.59%","20.23%","16.23%","24.93%","19.71%","16.09%","23.91%"
"46","South Carolina","22.48%","19.06%","26.32%","2.52%","1.61%","3.92%","20.31%","16.21%","25.14%","25.09%","20.94%","29.75%","24.48%","20.73%","28.66%"
"47","South Dakota","21.56%","18.09%","25.49%","3.30%","2.00%","5.40%","22.81%","17.66%","28.93%","23.78%","19.56%","28.58%","23.65%","19.81%","27.97%"
"48","Tennessee","25.72%","22.07%","29.73%","3.41%","2.28%","5.06%","22.41%","17.94%","27.60%","28.82%","24.36%","33.72%","27.99%","23.99%","32.36%"
"49","Texas","18.81%","16.81%","20.99%","1.81%","1.18%","2.74%","13.50%","11.18%","16.22%","22.12%","19.58%","24.88%","20.87%","18.63%","23.29%"
"50","Utah","13.64%","11.47%","16.13%","1.84%","1.06%","3.17%","14.77%","11.20%","19.23%","15.40%","12.67%","18.58%","15.30%","12.86%","18.11%"
"51","Vermont","22.75%","19.58%","26.25%","4.99%","3.29%","7.50%","19.95%","16.17%","24.34%","24.89%","21.06%","29.16%","24.21%","20.81%","27.96%"
"52","Virginia","18.09%","15.78%","20.64%","2.21%","1.50%","3.25%","18.98%","15.65%","22.83%","19.79%","16.98%","22.93%","19.68%","17.16%","22.47%"
"53","Washington","17.29%","14.52%","20.46%","2.96%","1.89%","4.60%","20.13%","15.95%","25.07%","18.48%","15.18%","22.30%","18.68%","15.66%","22.13%"
"54","West Virginia","29.62%","25.46%","34.15%","4.63%","2.95%","7.17%","26.27%","21.52%","31.65%","32.71%","27.70%","38.16%","31.92%","27.40%","36.81%"
"55","Wisconsin","18.84%","16.04%","22.00%","2.53%","1.66%","3.83%","19.36%","15.82%","23.46%","20.66%","17.24%","24.57%","20.49%","17.42%","23.95%"
"56","Wyoming","26.01%","22.02%","30.43%","3.24%","1.99%","5.22%","24.71%","19.86%","30.30%","29.07%","24.19%","34.49%","28.50%","24.11%","33.35%"
