"Table 20. Perceptions of Great Risk from Smoking One or More Packs of Cigarettes per Day: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"20","Indiana","63.39%","60.10%","66.56%","62.05%","56.33%","67.45%","61.19%","55.32%","66.76%","63.93%","59.83%","67.83%","63.54%","59.95%","66.98%"
"21","Iowa","61.93%","58.23%","65.49%","63.77%","58.15%","69.04%","63.19%","56.47%","69.44%","61.48%","56.82%","65.94%","61.73%","57.67%","65.63%"
"22","Kansas","62.97%","59.73%","66.09%","64.22%","59.05%","69.08%","57.18%","51.11%","63.03%","63.80%","59.77%","67.64%","62.83%","59.30%","66.23%"
"23","Kentucky","60.14%","56.55%","63.63%","61.95%","56.21%","67.37%","56.00%","49.38%","62.41%","60.57%","56.11%","64.86%","59.95%","56.03%","63.76%"
"24","Louisiana","65.65%","62.16%","68.97%","62.27%","56.58%","67.64%","66.92%","59.97%","73.20%","65.88%","61.55%","69.96%","66.01%","62.18%","69.65%"
"25","Maine","65.25%","61.29%","69.00%","64.55%","58.29%","70.36%","65.09%","57.81%","71.73%","65.33%","60.58%","69.79%","65.30%","61.01%","69.35%"
"26","Maryland","73.27%","70.49%","75.89%","62.52%","57.45%","67.32%","67.31%","60.96%","73.08%","75.37%","71.98%","78.47%","74.36%","71.31%","77.19%"
"27","Massachusetts","72.96%","69.67%","76.02%","72.72%","66.97%","77.81%","71.25%","64.61%","77.09%","73.26%","69.21%","76.95%","72.98%","69.44%","76.25%"
"28","Michigan","66.68%","64.36%","68.92%","63.70%","59.38%","67.82%","66.79%","62.20%","71.08%","67.00%","64.10%","69.77%","66.97%","64.45%","69.40%"
"29","Minnesota","65.14%","61.39%","68.72%","69.05%","63.43%","74.16%","58.82%","51.82%","65.48%","65.61%","60.95%","69.99%","64.73%","60.59%","68.66%"
"30","Mississippi","64.09%","60.62%","67.42%","60.25%","54.11%","66.09%","58.87%","51.56%","65.81%","65.44%","61.15%","69.49%","64.54%","60.73%","68.16%"
"31","Missouri","64.10%","60.59%","67.47%","57.85%","51.81%","63.67%","60.98%","53.98%","67.55%","65.33%","60.97%","69.44%","64.75%","60.92%","68.40%"
"32","Montana","67.19%","63.55%","70.63%","60.87%","54.04%","67.29%","60.83%","52.62%","68.46%","68.86%","64.38%","73.00%","67.80%","63.83%","71.54%"
"33","Nebraska","63.03%","59.51%","66.42%","60.62%","54.69%","66.26%","55.04%","48.35%","61.55%","64.72%","60.30%","68.91%","63.31%","59.44%","67.02%"
"34","Nevada","68.60%","65.21%","71.79%","64.59%","58.91%","69.89%","63.45%","57.01%","69.44%","69.75%","65.65%","73.57%","69.01%","65.31%","72.48%"
"35","New Hampshire","70.41%","67.02%","73.59%","60.65%","54.91%","66.12%","62.56%","55.99%","68.69%","72.47%","68.37%","76.22%","71.24%","67.58%","74.64%"
"36","New Jersey","75.07%","72.20%","77.75%","67.83%","63.07%","72.25%","69.09%","63.33%","74.31%","76.74%","73.18%","79.95%","75.80%","72.63%","78.71%"
"37","New Mexico","69.67%","66.26%","72.88%","58.99%","52.80%","64.90%","58.08%","50.94%","64.89%","72.79%","68.59%","76.62%","70.82%","67.09%","74.30%"
"38","New York","73.29%","71.07%","75.41%","65.12%","60.59%","69.39%","67.27%","62.57%","71.65%","75.02%","72.36%","77.50%","74.03%","71.63%","76.29%"
"39","North Carolina","66.11%","62.89%","69.18%","64.69%","59.76%","69.33%","64.14%","57.61%","70.18%","66.57%","62.62%","70.30%","66.25%","62.74%","69.59%"
"40","North Dakota","62.10%","58.33%","65.73%","63.87%","57.85%","69.50%","57.22%","50.14%","64.02%","62.77%","58.05%","67.26%","61.91%","57.79%","65.87%"
"41","Ohio","65.32%","62.88%","67.67%","59.90%","55.68%","63.99%","61.37%","56.79%","65.75%","66.55%","63.49%","69.48%","65.87%","63.18%","68.45%"
"42","Oklahoma","63.04%","59.33%","66.61%","64.72%","58.92%","70.13%","57.26%","50.07%","64.15%","63.79%","59.18%","68.15%","62.86%","58.80%","66.74%"
"43","Oregon","69.04%","65.86%","72.06%","58.33%","52.26%","64.16%","56.82%","50.15%","63.25%","71.86%","68.01%","75.41%","70.02%","66.57%","73.26%"
"44","Pennsylvania","69.49%","66.91%","71.96%","65.29%","60.85%","69.47%","65.03%","60.10%","69.66%","70.58%","67.43%","73.55%","69.88%","67.07%","72.55%"
"45","Rhode Island","72.06%","68.50%","75.37%","63.48%","57.05%","69.46%","66.15%","58.59%","72.97%","73.87%","69.61%","77.73%","72.79%","68.96%","76.30%"
"46","South Carolina","66.76%","63.16%","70.18%","64.86%","59.01%","70.30%","60.93%","53.91%","67.52%","67.82%","63.34%","72.00%","66.95%","63.02%","70.67%"
"47","South Dakota","63.32%","59.76%","66.75%","61.41%","54.82%","67.62%","55.41%","47.80%","62.78%","64.84%","60.33%","69.11%","63.54%","59.58%","67.33%"
"48","Tennessee","63.93%","60.39%","67.34%","63.55%","57.83%","68.92%","59.97%","53.34%","66.25%","64.57%","60.20%","68.71%","63.97%","60.12%","67.65%"
"49","Texas","69.67%","67.58%","71.69%","65.82%","61.97%","69.48%","65.65%","61.43%","69.64%","70.91%","68.27%","73.42%","70.15%","67.83%","72.37%"
"50","Utah","69.79%","66.92%","72.51%","68.93%","63.81%","73.63%","70.28%","64.59%","75.41%","69.84%","66.22%","73.22%","69.93%","66.74%","72.93%"
"51","Vermont","69.24%","65.99%","72.31%","62.54%","57.25%","67.55%","67.95%","62.17%","73.23%","70.08%","66.10%","73.77%","69.78%","66.28%","73.07%"
"52","Virginia","70.94%","68.37%","73.38%","68.56%","64.32%","72.52%","59.94%","54.78%","64.90%","72.90%","69.69%","75.88%","71.18%","68.34%","73.86%"
"53","Washington","71.34%","68.22%","74.26%","64.41%","58.76%","69.69%","63.45%","56.93%","69.51%","73.20%","69.39%","76.70%","72.01%","68.61%","75.16%"
"54","West Virginia","61.99%","57.93%","65.89%","64.98%","59.38%","70.19%","58.39%","51.83%","64.67%","62.17%","57.17%","66.93%","61.71%","57.28%","65.95%"
"55","Wisconsin","65.43%","62.36%","68.39%","60.70%","55.65%","65.53%","62.54%","56.86%","67.89%","66.44%","62.66%","70.01%","65.91%","62.56%","69.11%"
"56","Wyoming","64.62%","60.78%","68.28%","60.34%","53.94%","66.40%","57.07%","49.81%","64.05%","66.28%","61.50%","70.75%","65.09%","60.87%","69.09%"
