"Table 14. Alcohol Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"37","New Mexico","45.45%","41.01%","49.96%","8.86%","6.21%","12.48%","50.12%","43.28%","56.95%","49.27%","43.86%","54.69%","49.38%","44.50%","54.27%"
"38","New York","47.21%","44.36%","50.08%","6.91%","5.29%","8.98%","50.74%","45.99%","55.47%","50.88%","47.42%","54.33%","50.86%","47.77%","53.95%"
"39","North Carolina","44.05%","40.05%","48.14%","5.75%","4.16%","7.90%","48.27%","41.83%","54.76%","47.92%","43.03%","52.86%","47.97%","43.56%","52.41%"
"40","North Dakota","55.96%","51.05%","60.75%","6.91%","4.79%","9.86%","64.96%","57.80%","71.50%","60.55%","54.39%","66.39%","61.21%","55.78%","66.37%"
"41","Ohio","50.80%","47.90%","53.69%","7.70%","6.01%","9.80%","53.18%","48.44%","57.86%","55.49%","51.93%","59.00%","55.19%","52.01%","58.33%"
"42","Oklahoma","42.02%","37.42%","46.77%","8.00%","5.68%","11.16%","50.75%","43.78%","57.69%","45.09%","39.49%","50.82%","45.88%","40.81%","51.05%"
"43","Oregon","54.84%","50.62%","58.99%","10.11%","7.29%","13.87%","57.22%","50.73%","63.47%","59.18%","54.18%","64.00%","58.95%","54.39%","63.37%"
"44","Pennsylvania","50.78%","47.45%","54.10%","7.72%","5.87%","10.08%","56.56%","51.22%","61.76%","54.57%","50.52%","58.56%","54.82%","51.19%","58.40%"
"45","Rhode Island","53.45%","48.16%","58.66%","8.31%","5.87%","11.64%","59.56%","51.71%","66.96%","56.96%","50.65%","63.05%","57.31%","51.59%","62.85%"
"46","South Carolina","47.19%","42.35%","52.09%","5.63%","3.98%","7.90%","48.38%","41.62%","55.19%","51.77%","45.93%","57.57%","51.35%","46.03%","56.64%"
"47","South Dakota","53.20%","48.40%","57.94%","8.02%","5.65%","11.27%","59.12%","51.32%","66.49%","58.26%","52.37%","63.92%","58.37%","53.04%","63.51%"
"48","Tennessee","43.64%","39.01%","48.39%","6.88%","5.04%","9.32%","46.76%","40.11%","53.53%","47.47%","41.86%","53.14%","47.38%","42.30%","52.52%"
"49","Texas","45.44%","42.88%","48.03%","7.11%","5.52%","9.12%","45.75%","41.35%","50.23%","50.86%","47.66%","54.05%","50.10%","47.26%","52.94%"
"50","Utah","30.80%","27.56%","34.24%","3.92%","2.32%","6.54%","32.81%","26.29%","40.05%","35.11%","30.96%","39.49%","34.64%","30.95%","38.52%"
"51","Vermont","56.53%","52.50%","60.47%","10.03%","7.49%","13.31%","65.14%","59.18%","70.66%","59.56%","54.66%","64.27%","60.33%","55.99%","64.51%"
"52","Virginia","50.73%","47.38%","54.06%","5.45%","4.06%","7.29%","54.46%","49.26%","59.56%","55.40%","51.29%","59.43%","55.27%","51.60%","58.88%"
"53","Washington","47.02%","42.61%","51.47%","6.96%","4.90%","9.80%","49.17%","42.21%","56.16%","51.14%","45.90%","56.34%","50.90%","46.10%","55.69%"
"54","West Virginia","32.68%","27.77%","38.00%","6.80%","4.43%","10.32%","49.18%","41.96%","56.44%","33.07%","27.28%","39.41%","35.05%","29.72%","40.78%"
"55","Wisconsin","57.36%","53.43%","61.21%","10.05%","7.49%","13.37%","60.74%","54.59%","66.57%","62.37%","57.51%","66.99%","62.15%","57.83%","66.28%"
"56","Wyoming","47.48%","42.27%","52.75%","5.13%","3.42%","7.62%","56.18%","48.81%","63.29%","51.53%","45.22%","57.79%","52.13%","46.35%","57.86%"
