"Table 24. Alcohol Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Alcohol Use Disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"15","Florida","9.82%","8.50%","11.32%","3.34%","2.38%","4.66%","13.00%","10.42%","16.10%","10.06%","8.54%","11.81%","10.40%","8.97%","12.01%"
"16","Georgia","9.72%","8.31%","11.34%","2.87%","2.03%","4.06%","14.63%","11.40%","18.58%","9.83%","8.18%","11.78%","10.49%","8.94%","12.27%"
"17","Hawaii","9.09%","7.29%","11.28%","3.43%","2.05%","5.68%","13.19%","9.59%","17.88%","9.15%","7.10%","11.70%","9.60%","7.66%","11.97%"
"18","Idaho","11.56%","9.49%","14.02%","4.55%","2.96%","6.94%","17.96%","13.18%","24.00%","11.53%","9.20%","14.36%","12.41%","10.13%","15.12%"
"19","Illinois","9.82%","8.37%","11.49%","3.43%","2.45%","4.79%","14.06%","10.95%","17.88%","9.94%","8.25%","11.93%","10.48%","8.90%","12.31%"
"20","Indiana","10.57%","8.78%","12.66%","3.45%","2.32%","5.08%","13.72%","10.39%","17.91%","10.95%","8.82%","13.53%","11.34%","9.39%","13.65%"
"21","Iowa","11.51%","9.53%","13.84%","4.43%","2.97%","6.57%","17.05%","12.78%","22.37%","11.47%","9.21%","14.19%","12.27%","10.11%","14.82%"
"22","Kansas","10.92%","9.16%","12.96%","3.45%","2.34%","5.06%","18.91%","14.55%","24.20%","10.55%","8.53%","12.99%","11.77%","9.83%","14.03%"
"23","Kentucky","8.78%","7.19%","10.66%","3.76%","2.46%","5.72%","13.98%","10.45%","18.46%","8.57%","6.79%","10.77%","9.30%","7.59%","11.34%"
"24","Louisiana","10.45%","8.57%","12.68%","2.72%","1.81%","4.05%","13.48%","9.89%","18.11%","10.96%","8.75%","13.63%","11.29%","9.23%","13.74%"
"25","Maine","10.37%","8.47%","12.63%","3.63%","2.39%","5.50%","14.12%","10.48%","18.75%","10.53%","8.39%","13.14%","10.93%","8.89%","13.36%"
"26","Maryland","11.14%","9.27%","13.34%","3.00%","2.00%","4.48%","17.93%","13.42%","23.53%","11.12%","8.98%","13.69%","11.97%","9.92%","14.37%"
"27","Massachusetts","10.91%","9.00%","13.17%","3.11%","2.09%","4.60%","17.40%","13.13%","22.69%","10.66%","8.48%","13.32%","11.60%","9.54%","14.03%"
"28","Michigan","9.91%","8.59%","11.40%","2.86%","2.02%","4.04%","15.55%","12.59%","19.05%","9.84%","8.31%","11.62%","10.61%","9.17%","12.24%"
"29","Minnesota","11.00%","9.07%","13.28%","4.00%","2.72%","5.86%","16.17%","12.15%","21.18%","11.09%","8.87%","13.77%","11.75%","9.64%","14.24%"
"30","Mississippi","9.18%","7.52%","11.16%","2.99%","1.99%","4.46%","14.26%","10.49%","19.10%","9.19%","7.27%","11.54%","9.88%","8.06%","12.07%"
"31","Missouri","10.16%","8.30%","12.39%","3.56%","2.42%","5.22%","15.33%","11.46%","20.21%","10.16%","8.03%","12.78%","10.85%","8.81%","13.29%"
"32","Montana","12.75%","10.45%","15.46%","4.84%","3.09%","7.50%","18.89%","13.74%","25.40%","12.71%","10.12%","15.84%","13.52%","11.03%","16.47%"
"33","Nebraska","11.39%","9.48%","13.62%","4.07%","2.75%","5.98%","15.88%","12.09%","20.58%","11.61%","9.35%","14.33%","12.23%","10.14%","14.69%"
"34","Nevada","11.25%","9.34%","13.50%","3.52%","2.34%","5.26%","14.25%","10.51%","19.03%","11.74%","9.52%","14.39%","12.04%","9.96%","14.49%"
"35","New Hampshire","12.06%","9.95%","14.53%","3.42%","2.34%","4.97%","16.92%","12.91%","21.87%","12.22%","9.81%","15.11%","12.80%","10.53%","15.47%"
"36","New Jersey","10.81%","8.90%","13.08%","3.56%","2.45%","5.14%","14.08%","10.70%","18.32%","11.19%","8.95%","13.90%","11.54%","9.45%","14.02%"
"37","New Mexico","12.69%","10.56%","15.18%","3.52%","2.24%","5.49%","17.03%","12.63%","22.57%","13.16%","10.67%","16.13%","13.68%","11.34%","16.41%"
"38","New York","11.31%","9.81%","13.01%","3.35%","2.36%","4.74%","13.89%","10.99%","17.40%","11.76%","9.99%","13.79%","12.03%","10.41%","13.87%"
"39","North Carolina","10.03%","8.44%","11.88%","3.32%","2.28%","4.82%","15.77%","12.16%","20.21%","9.95%","8.12%","12.14%","10.72%","8.98%","12.74%"
"40","North Dakota","15.01%","12.50%","17.91%","6.05%","3.71%","9.71%","19.57%","14.87%","25.32%","15.31%","12.39%","18.77%","15.97%","13.24%","19.12%"
"41","Ohio","10.12%","8.80%","11.60%","3.12%","2.24%","4.33%","14.73%","11.98%","17.99%","10.24%","8.68%","12.04%","10.83%","9.39%","12.46%"
"42","Oklahoma","10.94%","8.97%","13.27%","3.80%","2.52%","5.67%","13.71%","10.08%","18.39%","11.42%","9.12%","14.22%","11.75%","9.58%","14.32%"
"43","Oregon","12.53%","10.45%","14.94%","4.49%","3.03%","6.61%","17.05%","12.97%","22.10%","12.74%","10.38%","15.53%","13.27%","11.03%","15.88%"
"44","Pennsylvania","9.97%","8.51%","11.65%","3.30%","2.37%","4.59%","14.96%","11.92%","18.61%","9.97%","8.27%","11.96%","10.59%","9.01%","12.42%"
"45","Rhode Island","10.90%","8.87%","13.33%","3.36%","2.25%","4.99%","16.22%","11.96%","21.61%","10.79%","8.48%","13.63%","11.55%","9.36%","14.16%"
"46","South Carolina","9.40%","7.64%","11.52%","2.83%","1.87%","4.25%","12.78%","9.20%","17.49%","9.67%","7.63%","12.18%","10.06%","8.14%","12.37%"
"47","South Dakota","12.14%","9.94%","14.74%","4.94%","3.08%","7.83%","17.25%","12.93%","22.65%","12.28%","9.70%","15.42%","12.96%","10.56%","15.81%"
"48","Tennessee","10.14%","8.31%","12.31%","3.32%","2.30%","4.76%","14.47%","10.91%","18.94%","10.29%","8.16%","12.90%","10.83%","8.84%","13.21%"
"49","Texas","10.67%","9.37%","12.13%","3.47%","2.49%","4.83%","14.67%","12.01%","17.81%","11.02%","9.45%","12.81%","11.55%","10.10%","13.17%"
"50","Utah","8.79%","7.27%","10.59%","3.55%","2.24%","5.57%","12.61%","9.14%","17.15%","8.88%","7.13%","11.02%","9.54%","7.85%","11.53%"
"51","Vermont","12.10%","10.12%","14.41%","4.77%","3.23%","6.99%","15.84%","12.00%","20.61%","12.20%","9.88%","14.97%","12.70%","10.58%","15.18%"
"52","Virginia","10.64%","9.14%","12.36%","3.08%","2.15%","4.40%","16.34%","12.96%","20.40%","10.65%","8.90%","12.70%","11.40%","9.76%","13.28%"
"53","Washington","10.77%","8.93%","12.94%","3.61%","2.39%","5.42%","17.72%","13.55%","22.83%","10.59%","8.47%","13.16%","11.47%","9.46%","13.83%"
"54","West Virginia","8.41%","6.70%","10.51%","3.23%","2.07%","5.02%","11.09%","7.75%","15.61%","8.58%","6.62%","11.05%","8.89%","7.04%","11.17%"
"55","Wisconsin","11.45%","9.64%","13.55%","4.13%","2.85%","5.95%","14.98%","11.65%","19.07%","11.76%","9.61%","14.31%","12.19%","10.21%","14.49%"
"56","Wyoming","12.34%","10.11%","14.98%","5.80%","3.63%","9.15%","16.99%","12.86%","22.11%","12.48%","9.90%","15.61%","13.06%","10.65%","15.92%"
