"Table 10. Perceptions of Great Risk from Trying Heroin Once or Twice: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"30","Mississippi","83.84%","81.34%","86.05%","62.73%","57.32%","67.83%","76.95%","71.66%","81.51%","87.70%","84.69%","90.18%","86.21%","83.49%","88.54%"
"31","Missouri","81.95%","79.14%","84.46%","56.90%","50.98%","62.63%","77.88%","72.88%","82.19%","85.53%","82.13%","88.37%","84.51%","81.48%","87.13%"
"32","Montana","81.17%","78.10%","83.90%","56.89%","50.28%","63.25%","74.59%","68.23%","80.05%","84.86%","81.23%","87.90%","83.51%","80.20%","86.37%"
"33","Nebraska","79.26%","76.40%","81.86%","55.58%","49.73%","61.29%","74.15%","69.00%","78.71%","83.28%","79.74%","86.31%","81.95%","78.84%","84.69%"
"34","Nevada","82.46%","79.59%","85.00%","59.56%","53.75%","65.12%","77.81%","72.87%","82.06%","85.71%","82.24%","88.59%","84.77%","81.68%","87.41%"
"35","New Hampshire","81.74%","78.85%","84.32%","58.44%","52.92%","63.75%","76.29%","71.18%","80.73%","84.77%","81.33%","87.67%","83.72%","80.63%","86.39%"
"36","New Jersey","83.96%","81.44%","86.19%","60.96%","55.73%","65.94%","80.72%","76.27%","84.50%","87.01%","84.01%","89.52%","86.24%","83.53%","88.57%"
"37","New Mexico","82.11%","79.24%","84.66%","57.30%","51.12%","63.26%","75.34%","70.09%","79.93%","86.19%","82.74%","89.05%","84.74%","81.67%","87.37%"
"38","New York","81.01%","78.92%","82.94%","58.92%","54.52%","63.18%","75.86%","71.94%","79.39%","84.03%","81.55%","86.23%","82.99%","80.75%","85.01%"
"39","North Carolina","82.13%","79.53%","84.46%","58.22%","53.10%","63.17%","78.24%","73.64%","82.23%","85.50%","82.39%","88.13%","84.54%","81.76%","86.96%"
"40","North Dakota","80.27%","77.25%","82.98%","56.82%","50.43%","62.99%","75.48%","69.95%","80.27%","84.10%","80.37%","87.23%","82.75%","79.50%","85.58%"
"41","Ohio","84.49%","82.73%","86.10%","58.99%","54.88%","62.98%","80.57%","77.22%","83.53%","88.04%","85.91%","89.89%","87.06%","85.18%","88.74%"
"42","Oklahoma","81.00%","78.04%","83.65%","61.02%","55.19%","66.56%","74.95%","69.35%","79.83%","84.61%","80.99%","87.65%","83.23%","80.03%","86.01%"
"43","Oregon","76.38%","73.00%","79.46%","55.96%","50.02%","61.73%","73.64%","68.18%","78.46%","78.87%","74.87%","82.39%","78.23%","74.60%","81.47%"
"44","Pennsylvania","81.94%","79.74%","83.96%","58.61%","54.06%","63.01%","79.88%","76.07%","83.22%","84.72%","82.08%","87.03%","84.11%","81.75%","86.21%"
"45","Rhode Island","82.30%","79.28%","84.95%","58.20%","52.02%","64.13%","80.20%","74.73%","84.73%","85.01%","81.38%","88.04%","84.33%","81.10%","87.10%"
"46","South Carolina","82.75%","79.86%","85.30%","61.25%","55.47%","66.73%","79.39%","74.41%","83.61%","85.67%","82.19%","88.56%","84.87%","81.78%","87.52%"
"47","South Dakota","79.76%","76.56%","82.63%","60.61%","54.57%","66.35%","72.88%","66.81%","78.20%","83.36%","79.43%","86.67%","81.92%","78.43%","84.95%"
"48","Tennessee","83.70%","81.17%","85.94%","60.69%","54.94%","66.17%","76.01%","71.04%","80.36%","87.49%","84.45%","90.01%","86.00%","83.28%","88.35%"
"49","Texas","82.29%","80.57%","83.88%","59.88%","55.91%","63.73%","80.83%","77.63%","83.67%","85.68%","83.62%","87.52%","84.97%","83.13%","86.64%"
"50","Utah","80.56%","78.41%","82.55%","57.63%","52.62%","62.49%","79.35%","75.14%","83.00%","84.77%","82.06%","87.13%","83.79%","81.43%","85.90%"
"51","Vermont","80.33%","77.57%","82.82%","55.63%","50.17%","60.95%","75.31%","70.23%","79.77%","83.46%","80.12%","86.34%","82.32%","79.36%","84.94%"
"52","Virginia","83.09%","81.05%","84.96%","57.67%","53.26%","61.97%","78.19%","74.28%","81.65%","86.75%","84.30%","88.87%","85.61%","83.41%","87.57%"
"53","Washington","77.71%","74.61%","80.54%","54.71%","48.74%","60.54%","76.27%","71.39%","80.54%","80.43%","76.66%","83.72%","79.91%","76.54%","82.91%"
"54","West Virginia","84.62%","81.95%","86.96%","60.01%","54.42%","65.35%","76.26%","71.14%","80.72%","88.33%","85.10%","90.94%","86.85%","83.98%","89.27%"
"55","Wisconsin","80.45%","77.82%","82.83%","58.64%","53.53%","63.57%","76.39%","71.83%","80.41%","83.59%","80.38%","86.37%","82.62%","79.76%","85.15%"
"56","Wyoming","80.96%","77.91%","83.69%","58.37%","52.07%","64.41%","75.15%","69.97%","79.69%","84.64%","80.91%","87.75%","83.41%","80.11%","86.26%"
