"Table 21. Drug Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Drug Use Disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria. Beginning with the 2021 NSDUH, questions on prescription drug use disorder were asked of all past year users of prescription drugs, regardless of whether they misused prescription drugs. The estimates in this table include prescription drug use disorder data from all past year users of prescription drugs. ","","","","","","","","","","","","","","","",""
"NOTE: Drug Use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"11","Colorado","10.44%","8.62%","12.60%","9.09%","6.20%","13.13%","19.11%","15.18%","23.76%","9.29%","7.32%","11.73%","10.58%","8.69%","12.82%"
"12","Connecticut","7.42%","5.87%","9.35%","7.10%","4.56%","10.91%","16.93%","12.76%","22.12%","5.99%","4.41%","8.10%","7.46%","5.85%","9.45%"
"13","Delaware","8.77%","7.08%","10.81%","8.73%","5.72%","13.09%","20.46%","16.32%","25.34%","7.21%","5.38%","9.59%","8.77%","7.03%","10.89%"
"14","District of Columbia","10.87%","8.69%","13.52%","6.87%","4.37%","10.63%","20.81%","16.22%","26.30%","9.51%","7.13%","12.58%","11.13%","8.86%","13.89%"
"15","Florida","7.55%","6.32%","8.99%","5.89%","4.17%","8.28%","13.97%","11.33%","17.09%","6.90%","5.55%","8.56%","7.69%","6.42%","9.20%"
"16","Georgia","8.53%","7.10%","10.22%","6.36%","4.42%","9.07%","15.00%","11.88%","18.76%","7.78%","6.19%","9.73%","8.78%","7.26%","10.57%"
"17","Hawaii","6.57%","5.06%","8.49%","6.93%","4.30%","10.97%","14.17%","10.38%","19.06%","5.60%","4.02%","7.73%","6.54%","4.99%","8.53%"
"18","Idaho","8.79%","6.97%","11.04%","6.87%","4.49%","10.37%","19.16%","14.72%","24.55%","7.40%","5.41%","10.04%","9.02%","7.09%","11.42%"
"19","Illinois","8.65%","7.19%","10.38%","8.20%","5.84%","11.40%","14.85%","11.85%","18.45%","7.76%","6.15%","9.75%","8.70%","7.18%","10.50%"
"20","Indiana","10.29%","8.39%","12.56%","7.08%","4.67%","10.59%","19.86%","15.85%","24.58%","9.09%","7.00%","11.73%","10.64%","8.63%","13.04%"
"21","Iowa","10.02%","8.03%","12.45%","8.57%","5.55%","13.01%","16.58%","12.68%","21.40%","9.09%","6.92%","11.86%","10.18%","8.11%","12.71%"
"22","Kansas","9.23%","7.49%","11.33%","6.63%","4.50%","9.65%","15.06%","11.74%","19.11%","8.58%","6.62%","11.06%","9.53%","7.68%","11.77%"
"23","Kentucky","9.87%","8.02%","12.08%","6.91%","4.55%","10.35%","17.95%","14.06%","22.63%","8.97%","6.90%","11.59%","10.17%","8.21%","12.54%"
"24","Louisiana","10.35%","8.29%","12.87%","9.18%","5.90%","14.01%","17.66%","13.28%","23.09%","9.40%","7.15%","12.25%","10.48%","8.34%","13.10%"
"25","Maine","9.35%","7.55%","11.52%","7.41%","4.97%","10.91%","18.00%","13.82%","23.11%","8.47%","6.54%","10.91%","9.51%","7.64%","11.79%"
"26","Maryland","9.24%","7.52%","11.32%","6.36%","4.30%","9.30%","20.99%","16.43%","26.40%","7.91%","6.04%","10.29%","9.54%","7.71%","11.75%"
"27","Massachusetts","8.41%","6.77%","10.41%","7.87%","5.12%","11.90%","18.29%","14.20%","23.23%","6.87%","5.18%","9.06%","8.46%","6.78%","10.52%"
"28","Michigan","8.64%","7.45%","10.00%","7.37%","5.55%","9.72%","16.97%","14.05%","20.34%","7.50%","6.18%","9.08%","8.77%","7.52%","10.20%"
"29","Minnesota","8.66%","6.99%","10.68%","7.68%","5.18%","11.24%","18.76%","14.66%","23.68%","7.28%","5.52%","9.54%","8.76%","7.03%","10.88%"
"30","Mississippi","9.15%","7.33%","11.36%","6.57%","4.34%","9.84%","15.60%","11.77%","20.40%","8.45%","6.42%","11.05%","9.44%","7.52%","11.80%"
"31","Missouri","9.70%","7.76%","12.05%","7.52%","4.98%","11.19%","16.28%","12.51%","20.92%","8.96%","6.79%","11.72%","9.92%","7.89%","12.41%"
"32","Montana","9.88%","7.85%","12.37%","7.74%","4.98%","11.84%","21.09%","16.05%","27.19%","8.43%","6.28%","11.24%","10.09%","7.97%","12.69%"
"33","Nebraska","8.38%","6.75%","10.37%","6.06%","3.96%","9.17%","13.31%","10.11%","17.34%","7.85%","6.00%","10.21%","8.65%","6.93%","10.74%"
"34","Nevada","12.48%","10.05%","15.40%","10.78%","6.77%","16.74%","21.44%","16.44%","27.45%","11.48%","8.84%","14.79%","12.66%","10.13%","15.71%"
"35","New Hampshire","7.65%","6.08%","9.58%","5.78%","3.79%","8.70%","18.13%","13.94%","23.25%","6.35%","4.72%","8.50%","7.81%","6.16%","9.85%"
"36","New Jersey","7.09%","5.67%","8.84%","5.58%","3.70%","8.35%","18.27%","14.24%","23.14%","5.71%","4.21%","7.70%","7.24%","5.75%","9.09%"
"37","New Mexico","12.74%","10.35%","15.59%","11.88%","8.09%","17.12%","18.58%","13.97%","24.29%","11.95%","9.32%","15.19%","12.83%","10.35%","15.81%"
"38","New York","7.94%","6.77%","9.30%","8.14%","5.95%","11.05%","14.93%","12.06%","18.34%","6.90%","5.62%","8.44%","7.92%","6.71%","9.34%"
"39","North Carolina","7.84%","6.26%","9.79%","5.58%","3.69%","8.35%","13.46%","10.17%","17.61%","7.26%","5.50%","9.52%","8.07%","6.41%","10.13%"
"40","North Dakota","8.61%","6.70%","11.00%","5.67%","3.46%","9.14%","15.03%","11.11%","20.02%","7.80%","5.67%","10.65%","8.93%","6.91%","11.46%"
"41","Ohio","9.56%","8.19%","11.12%","7.79%","5.77%","10.43%","17.54%","14.54%","21.01%","8.56%","7.03%","10.39%","9.74%","8.30%","11.40%"
"42","Oklahoma","11.90%","9.63%","14.61%","9.28%","6.19%","13.69%","17.29%","13.16%","22.37%","11.35%","8.78%","14.56%","12.20%","9.82%","15.05%"
"43","Oregon","9.83%","8.09%","11.90%","9.04%","6.22%","12.95%","22.44%","18.03%","27.57%","8.17%","6.30%","10.54%","9.90%","8.09%","12.07%"
"44","Pennsylvania","8.39%","6.98%","10.06%","5.95%","4.11%","8.55%","14.75%","11.76%","18.35%","7.74%","6.19%","9.65%","8.62%","7.14%","10.38%"
"45","Rhode Island","10.27%","8.11%","12.92%","10.22%","6.61%","15.47%","20.85%","15.77%","27.03%","8.54%","6.33%","11.44%","10.27%","8.07%","13.00%"
"46","South Carolina","8.24%","6.47%","10.43%","6.27%","4.11%","9.45%","14.81%","11.31%","19.16%","7.52%","5.59%","10.04%","8.44%","6.59%","10.74%"
"47","South Dakota","8.31%","6.46%","10.62%","5.91%","3.59%","9.57%","14.66%","10.65%","19.85%","7.61%","5.57%","10.30%","8.58%","6.63%","11.04%"
"48","Tennessee","9.31%","7.50%","11.50%","6.38%","4.20%","9.59%","16.38%","12.71%","20.85%","8.60%","6.59%","11.16%","9.61%","7.71%","11.92%"
"49","Texas","6.85%","5.77%","8.12%","4.27%","2.94%","6.17%","12.34%","10.04%","15.07%","6.28%","5.05%","7.80%","7.17%","6.01%","8.53%"
"50","Utah","8.02%","6.53%","9.81%","3.92%","2.40%","6.36%","13.75%","10.58%","17.69%","7.46%","5.78%","9.58%","8.60%","6.99%","10.54%"
"51","Vermont","11.46%","9.43%","13.86%","10.17%","7.22%","14.15%","21.24%","17.03%","26.15%","10.00%","7.77%","12.78%","11.57%","9.45%","14.08%"
"52","Virginia","7.77%","6.50%","9.27%","4.20%","2.88%","6.07%","15.37%","12.41%","18.89%","7.03%","5.61%","8.77%","8.13%","6.78%","9.73%"
"53","Washington","10.38%","8.50%","12.61%","9.42%","6.31%","13.85%","21.50%","17.04%","26.75%","8.93%","6.93%","11.44%","10.47%","8.54%","12.78%"
"54","West Virginia","9.84%","7.76%","12.42%","7.15%","4.71%","10.71%","18.45%","14.21%","23.61%","8.92%","6.64%","11.90%","10.09%","7.90%","12.80%"
"55","Wisconsin","8.32%","6.86%","10.05%","7.47%","5.23%","10.57%","19.56%","15.72%","24.07%","6.67%","5.11%","8.66%","8.40%","6.90%","10.21%"
"56","Wyoming","9.85%","7.70%","12.51%","7.40%","4.68%","11.52%","17.09%","12.96%","22.21%","9.08%","6.72%","12.16%","10.11%","7.85%","12.95%"
