"Table 32. Major Depressive Episode in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","",""
"NOTE: Major Depressive Episode (MDE) is based on the Diagnostic and Statistical Manual of Mental Disorders, 5th Edition (DSM-5) definition, which specifies a period of at least 2 weeks when an individual experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section B of the ""2021 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/report/2021-nsduh-guide-state-tables-and-summary-sae-methodology.","","","","","","","","","","","","",""
"NOTE: There are minor wording differences in the questions in the adult and adolescent MDE modules. Therefore, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. ","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","",""
"Order","State","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)"
"12","Connecticut","7.69%","6.28%","9.38%","20.42%","16.33%","25.24%","18.93%","14.93%","23.70%","5.95%","4.56%","7.74%"
"13","Delaware","7.93%","6.53%","9.60%","20.46%","16.41%","25.21%","21.78%","17.67%","26.53%","6.08%","4.68%","7.86%"
"14","District of Columbia","9.62%","7.86%","11.73%","16.53%","12.75%","21.16%","15.52%","12.27%","19.44%","8.64%","6.77%","10.96%"
"15","Florida","7.54%","6.45%","8.80%","22.22%","19.02%","25.79%","19.88%","16.77%","23.40%","5.98%","4.87%","7.33%"
"16","Georgia","8.47%","7.13%","10.04%","17.33%","14.15%","21.05%","17.17%","14.10%","20.74%","7.08%","5.68%","8.80%"
"17","Hawaii","6.84%","5.39%","8.63%","19.15%","14.98%","24.15%","15.87%","12.22%","20.37%","5.72%","4.26%","7.63%"
"18","Idaho","10.50%","8.62%","12.72%","20.72%","16.55%","25.63%","22.71%","18.09%","28.11%","8.54%","6.63%","10.94%"
"19","Illinois","7.13%","5.99%","8.47%","23.14%","18.87%","28.05%","14.21%","11.40%","17.57%","6.06%","4.87%","7.52%"
"20","Indiana","9.35%","7.88%","11.05%","22.01%","17.61%","27.15%","21.26%","17.35%","25.77%","7.36%","5.84%","9.23%"
"21","Iowa","9.33%","7.68%","11.28%","23.65%","19.09%","28.90%","19.08%","15.08%","23.86%","7.67%","5.97%","9.79%"
"22","Kansas","9.25%","7.71%","11.05%","21.65%","17.67%","26.24%","19.22%","15.50%","23.59%","7.54%","5.97%","9.49%"
"23","Kentucky","9.01%","7.52%","10.77%","19.19%","15.43%","23.62%","21.25%","17.32%","25.80%","7.12%","5.59%","9.02%"
"24","Louisiana","8.11%","6.62%","9.90%","17.40%","13.85%","21.63%","14.86%","11.48%","19.02%","7.09%","5.52%","9.06%"
"25","Maine","8.78%","7.23%","10.63%","20.13%","16.22%","24.71%","20.16%","16.13%","24.91%","7.38%","5.78%","9.38%"
"26","Maryland","7.89%","6.53%","9.50%","19.57%","15.92%","23.83%","20.06%","16.13%","24.66%","6.16%","4.80%","7.87%"
"27","Massachusetts","8.00%","6.60%","9.67%","19.66%","15.67%","24.37%","18.30%","14.54%","22.79%","6.34%","4.93%","8.11%"
"28","Michigan","7.84%","6.78%","9.03%","17.73%","14.89%","20.98%","19.38%","16.43%","22.72%","6.05%","4.99%","7.31%"
"29","Minnesota","8.43%","6.91%","10.25%","20.43%","16.44%","25.09%","18.52%","14.84%","22.86%","6.93%","5.34%","8.94%"
"30","Mississippi","7.20%","5.84%","8.85%","16.52%","13.07%","20.66%","15.19%","11.69%","19.52%","5.93%","4.56%","7.67%"
"31","Missouri","9.36%","7.75%","11.27%","22.41%","18.02%","27.51%","19.52%","15.58%","24.17%","7.81%","6.12%","9.92%"
"32","Montana","10.61%","8.66%","12.95%","23.16%","18.21%","28.99%","20.39%","15.71%","26.04%","9.14%","7.12%","11.65%"
"33","Nebraska","9.45%","7.87%","11.31%","21.06%","16.81%","26.06%","19.39%","15.56%","23.90%","7.76%","6.11%","9.80%"
"34","Nevada","9.55%","7.79%","11.65%","24.24%","19.61%","29.57%","18.97%","15.19%","23.43%","8.28%","6.46%","10.56%"
"35","New Hampshire","8.38%","6.87%","10.20%","20.24%","16.31%","24.84%","19.76%","15.72%","24.54%","6.78%","5.22%","8.76%"
"36","New Jersey","6.62%","5.42%","8.05%","19.03%","15.36%","23.35%","17.83%","14.32%","21.98%","5.05%","3.87%","6.57%"
"37","New Mexico","9.69%","7.91%","11.82%","25.83%","21.00%","31.32%","20.21%","16.17%","24.96%","8.07%","6.21%","10.43%"
"38","New York","6.53%","5.56%","7.66%","20.33%","16.97%","24.17%","13.55%","10.91%","16.71%","5.51%","4.50%","6.73%"
"39","North Carolina","8.33%","6.90%","10.01%","17.72%","14.22%","21.86%","18.30%","14.73%","22.51%","6.82%","5.36%","8.63%"
"40","North Dakota","10.00%","8.30%","12.00%","21.10%","16.73%","26.27%","21.21%","17.16%","25.92%","7.93%","6.17%","10.14%"
"41","Ohio","8.97%","7.77%","10.35%","21.73%","18.40%","25.48%","19.37%","16.40%","22.74%","7.41%","6.15%","8.89%"
"42","Oklahoma","9.46%","7.80%","11.44%","19.68%","15.73%","24.33%","19.56%","15.59%","24.25%","7.79%","6.08%","9.94%"
"43","Oregon","10.06%","8.39%","12.02%","25.07%","20.42%","30.37%","21.94%","17.86%","26.64%","8.42%","6.67%","10.57%"
"44","Pennsylvania","8.84%","7.57%","10.31%","19.81%","16.63%","23.43%","20.82%","17.31%","24.82%","7.12%","5.83%","8.67%"
"45","Rhode Island","8.73%","7.04%","10.79%","20.84%","16.58%","25.87%","18.29%","14.27%","23.15%","7.17%","5.46%","9.37%"
"46","South Carolina","7.63%","6.13%","9.45%","16.68%","12.94%","21.24%","15.43%","11.81%","19.91%","6.50%","4.98%","8.45%"
"47","South Dakota","8.68%","7.06%","10.64%","20.29%","15.97%","25.41%","18.81%","14.76%","23.68%","7.07%","5.41%","9.18%"
"48","Tennessee","8.80%","7.17%","10.76%","18.43%","14.71%","22.83%","19.66%","15.69%","24.34%","7.19%","5.52%","9.31%"
"49","Texas","8.22%","7.15%","9.44%","18.41%","15.49%","21.74%","17.24%","14.67%","20.16%","6.69%","5.55%","8.04%"
"50","Utah","9.94%","8.43%","11.68%","18.66%","15.20%","22.70%","21.18%","17.35%","25.60%","7.47%","5.97%","9.31%"
"51","Vermont","9.74%","8.12%","11.64%","20.51%","16.69%","24.94%","19.49%","15.82%","23.78%","8.16%","6.46%","10.26%"
"52","Virginia","7.91%","6.75%","9.26%","20.27%","17.01%","23.97%","18.37%","15.26%","21.95%","6.32%","5.13%","7.75%"
"53","Washington","8.96%","7.43%","10.76%","22.15%","17.96%","27.00%","21.40%","17.45%","25.96%","7.22%","5.68%","9.14%"
"54","West Virginia","8.99%","7.32%","11.00%","19.04%","15.07%","23.76%","19.10%","15.14%","23.81%","7.58%","5.85%","9.77%"
"55","Wisconsin","8.91%","7.37%","10.73%","19.30%","15.76%","23.41%","18.49%","15.14%","22.39%","7.42%","5.79%","9.45%"
"56","Wyoming","10.03%","8.22%","12.18%","23.29%","18.49%","28.88%","21.43%","17.28%","26.27%","8.33%","6.43%","10.73%"
