"Table 25. Substance Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: Substance Use Disorder (SUD) estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria. SUD is defined as meeting the criteria for drug or alcohol use disorder. Beginning with the 2021 NSDUH, questions on prescription drug use disorder were asked of all past year users of prescription drugs, regardless of whether they misused prescription drugs. The estimates in this table include prescription drug use disorder data from all past year users of prescription drugs. ","","","","","","","","","","","","","","","",""
"NOTE: Drug Use includes the use of marijuana (including vaping), cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine in the past year or any use (i.e., not necessarily misuse) of prescription pain relievers, tranquilizers, stimulants, or sedatives in the past year.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"20","Indiana","19.29%","16.66%","22.22%","8.49%","6.14%","11.63%","29.16%","24.45%","34.37%","19.02%","15.99%","22.46%","20.47%","17.63%","23.64%"
"21","Iowa","18.79%","15.94%","22.01%","10.99%","7.99%","14.93%","28.64%","23.12%","34.88%","18.09%","14.90%","21.78%","19.62%","16.60%","23.05%"
"22","Kansas","16.99%","14.58%","19.70%","8.15%","5.93%","11.11%","29.22%","24.26%","34.73%","16.07%","13.35%","19.23%","18.00%","15.40%","20.92%"
"23","Kentucky","16.30%","13.96%","18.95%","7.43%","5.34%","10.25%","26.93%","22.08%","32.39%","15.72%","13.09%","18.77%","17.23%","14.71%","20.07%"
"24","Louisiana","18.26%","15.33%","21.60%","10.77%","7.52%","15.19%","26.48%","21.10%","32.66%","17.95%","14.65%","21.80%","19.07%","15.94%","22.65%"
"25","Maine","16.64%","14.01%","19.65%","8.58%","6.12%","11.90%","26.27%","21.17%","32.10%","16.21%","13.31%","19.60%","17.31%","14.53%","20.50%"
"26","Maryland","17.78%","15.23%","20.65%","8.00%","5.83%","10.89%","29.54%","23.92%","35.86%","17.23%","14.36%","20.54%","18.77%","16.02%","21.86%"
"27","Massachusetts","17.12%","14.50%","20.11%","9.73%","6.86%","13.61%","27.01%","21.68%","33.09%","16.28%","13.45%","19.57%","17.78%","15.01%","20.92%"
"28","Michigan","16.97%","15.22%","18.88%","8.53%","6.69%","10.82%","27.10%","23.46%","31.08%","16.37%","14.37%","18.59%","17.80%","15.91%","19.87%"
"29","Minnesota","17.08%","14.45%","20.08%","9.65%","6.92%","13.30%","27.39%","22.15%","33.32%","16.45%","13.54%","19.84%","17.87%","15.06%","21.07%"
"30","Mississippi","16.45%","13.89%","19.37%","7.52%","5.41%","10.35%","26.56%","21.18%","32.74%","16.01%","13.15%","19.36%","17.47%","14.70%","20.62%"
"31","Missouri","17.45%","14.75%","20.53%","9.46%","6.87%","12.91%","28.34%","22.98%","34.39%","16.74%","13.72%","20.27%","18.28%","15.39%","21.57%"
"32","Montana","19.59%","16.44%","23.18%","10.32%","7.26%","14.47%","34.48%","27.30%","42.44%","18.39%","15.00%","22.36%","20.50%","17.16%","24.30%"
"33","Nebraska","15.93%","13.55%","18.65%","8.40%","6.00%","11.64%","23.70%","19.21%","28.87%","15.62%","12.91%","18.78%","16.80%","14.24%","19.71%"
"34","Nevada","18.98%","16.15%","22.18%","11.63%","7.98%","16.67%","29.86%","24.07%","36.38%","18.38%","15.26%","21.96%","19.73%","16.76%","23.09%"
"35","New Hampshire","16.20%","13.67%","19.08%","6.58%","4.63%","9.28%","26.81%","21.67%","32.65%","15.65%","12.84%","18.93%","17.02%","14.33%","20.11%"
"36","New Jersey","15.51%","13.11%","18.24%","7.45%","5.39%","10.23%","25.18%","20.71%","30.26%","15.08%","12.36%","18.28%","16.32%","13.75%","19.26%"
"37","New Mexico","21.56%","18.33%","25.18%","14.52%","10.29%","20.10%","33.98%","27.62%","40.96%","20.51%","16.92%","24.64%","22.31%","18.87%","26.18%"
"38","New York","16.99%","15.13%","19.03%","11.29%","8.69%","14.53%","22.95%","19.31%","27.04%","16.71%","14.60%","19.06%","17.51%","15.54%","19.66%"
"39","North Carolina","15.56%","13.36%","18.04%","7.70%","5.68%","10.35%","24.33%","19.79%","29.52%","15.16%","12.69%","18.01%","16.36%","14.01%","19.02%"
"40","North Dakota","20.25%","17.30%","23.55%","8.23%","5.71%","11.72%","31.90%","26.23%","38.15%","19.62%","16.24%","23.51%","21.53%","18.35%","25.10%"
"41","Ohio","16.87%","15.09%","18.82%","9.22%","7.25%","11.66%","26.01%","22.46%","29.91%","16.39%","14.33%","18.68%","17.65%","15.74%","19.75%"
"42","Oklahoma","18.80%","16.10%","21.82%","11.06%","8.16%","14.83%","27.51%","22.22%","33.51%","18.37%","15.29%","21.92%","19.67%","16.77%","22.93%"
"43","Oregon","19.44%","16.90%","22.27%","12.53%","9.26%","16.76%","30.54%","25.32%","36.30%","18.63%","15.81%","21.83%","20.08%","17.40%","23.06%"
"44","Pennsylvania","16.08%","14.13%","18.25%","7.87%","5.90%","10.41%","26.29%","22.13%","30.92%","15.50%","13.31%","17.98%","16.86%","14.77%","19.17%"
"45","Rhode Island","18.49%","15.59%","21.79%","11.11%","7.92%","15.36%","27.08%","21.46%","33.54%","17.82%","14.68%","21.47%","19.13%","16.08%","22.59%"
"46","South Carolina","14.73%","12.24%","17.61%","6.56%","4.58%","9.33%","24.22%","19.28%","29.96%","14.29%","11.52%","17.60%","15.54%","12.88%","18.64%"
"47","South Dakota","16.15%","13.55%","19.13%","8.64%","5.92%","12.46%","26.83%","21.44%","33.01%","15.44%","12.58%","18.80%","17.01%","14.24%","20.19%"
"48","Tennessee","16.90%","14.29%","19.86%","8.36%","5.99%","11.55%","26.30%","21.34%","31.93%","16.50%","13.60%","19.88%","17.76%","14.98%","20.94%"
"49","Texas","14.77%","13.21%","16.48%","6.46%","4.89%","8.47%","23.21%","19.95%","26.83%","14.51%","12.69%","16.54%","15.78%","14.07%","17.65%"
"50","Utah","14.22%","12.12%","16.62%","5.07%","3.35%","7.61%","20.81%","16.52%","25.87%","14.36%","11.92%","17.20%","15.52%","13.20%","18.17%"
"51","Vermont","21.22%","18.52%","24.19%","12.35%","9.14%","16.48%","33.09%","27.70%","38.96%","20.15%","17.09%","23.60%","21.95%","19.11%","25.08%"
"52","Virginia","16.35%","14.30%","18.62%","6.61%","5.00%","8.68%","26.01%","22.10%","30.34%","16.00%","13.62%","18.70%","17.32%","15.11%","19.79%"
"53","Washington","18.09%","15.57%","20.90%","11.29%","8.25%","15.26%","29.19%","24.05%","34.92%","17.29%","14.49%","20.49%","18.75%","16.09%","21.73%"
"54","West Virginia","15.97%","13.30%","19.05%","8.45%","5.87%","12.01%","24.50%","19.32%","30.54%","15.57%","12.64%","19.03%","16.66%","13.83%","19.93%"
"55","Wisconsin","17.39%","15.02%","20.04%","9.41%","7.06%","12.45%","27.64%","22.99%","32.84%","16.73%","14.05%","19.79%","18.20%","15.66%","21.04%"
"56","Wyoming","18.49%","15.55%","21.85%","8.55%","5.82%","12.40%","29.00%","23.62%","35.03%","18.19%","14.86%","22.07%","19.58%","16.42%","23.18%"
