"Table 27. Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing alcohol use treatment if they met the Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5) criteria for an alcohol use disorder or received treatment for alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Needing But Not Receiving Alcohol Treatment refers to respondents who are classified as needing alcohol treatment but who did not receive alcohol treatment at a specialty facility.",,,,,,,,,,,,,,,,
NOTE: Alcohol Use Disorder estimates are based on DSM-5 criteria.,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.",,,,,,,,,,,,,,,,
Order,State,12+ Estimate,12+ 95% CI (Lower),12+ 95% CI (Upper),12-17 Estimate,12-17 95% CI (Lower),12-17 95% CI (Upper),18-25 Estimate,18-25 95% CI (Lower),18-25 95% CI (Upper),26+ Estimate,26+ 95% CI (Lower),26+ 95% CI (Upper),18+ Estimate,18+ 95% CI (Lower),18+ 95% CI (Upper)
15,Florida,9.80%,8.42%,11.37%,3.08%,2.18%,4.33%,12.88%,10.32%,15.97%,10.07%,8.44%,11.97%,10.39%,8.90%,12.09%
16,Georgia,10.01%,8.43%,11.85%,2.82%,1.94%,4.10%,14.27%,11.07%,18.20%,10.27%,8.40%,12.49%,10.82%,9.09%,12.83%
17,Hawaii,9.49%,7.59%,11.80%,4.10%,2.34%,7.07%,13.13%,9.54%,17.79%,9.58%,7.43%,12.28%,9.98%,7.95%,12.45%
18,Idaho,10.73%,8.66%,13.24%,4.05%,2.63%,6.18%,17.80%,13.13%,23.66%,10.55%,8.15%,13.55%,11.55%,9.26%,14.30%
19,Illinois,9.04%,7.47%,10.90%,4.07%,2.82%,5.83%,13.89%,10.85%,17.63%,8.90%,7.06%,11.16%,9.56%,7.85%,11.59%
20,Indiana,10.99%,9.03%,13.32%,3.06%,2.01%,4.62%,13.02%,9.84%,17.04%,11.67%,9.28%,14.57%,11.86%,9.71%,14.40%
21,Iowa,10.62%,8.67%,12.94%,5.12%,3.34%,7.76%,16.33%,12.12%,21.65%,10.34%,8.14%,13.06%,11.21%,9.12%,13.70%
22,Kansas,10.44%,8.70%,12.48%,3.64%,2.33%,5.64%,18.52%,14.37%,23.54%,9.97%,7.96%,12.42%,11.22%,9.32%,13.44%
23,Kentucky,8.57%,6.92%,10.57%,3.21%,2.06%,4.96%,13.77%,10.34%,18.11%,8.41%,6.51%,10.80%,9.13%,7.33%,11.31%
24,Louisiana,10.40%,8.42%,12.78%,2.80%,1.80%,4.32%,13.22%,9.77%,17.66%,10.93%,8.60%,13.79%,11.23%,9.06%,13.84%
25,Maine,9.86%,7.93%,12.19%,3.28%,2.17%,4.94%,13.94%,10.27%,18.64%,9.97%,7.79%,12.67%,10.41%,8.35%,12.90%
26,Maryland,10.61%,8.69%,12.89%,2.50%,1.62%,3.86%,17.64%,13.30%,23.01%,10.55%,8.34%,13.25%,11.43%,9.34%,13.92%
27,Massachusetts,11.17%,9.24%,13.45%,2.82%,1.83%,4.31%,17.27%,13.16%,22.34%,11.04%,8.79%,13.77%,11.91%,9.82%,14.36%
28,Michigan,9.97%,8.62%,11.51%,2.64%,1.80%,3.87%,15.04%,12.06%,18.61%,10.03%,8.45%,11.86%,10.70%,9.23%,12.37%
29,Minnesota,10.39%,8.45%,12.71%,3.73%,2.42%,5.70%,15.26%,11.38%,20.16%,10.48%,8.23%,13.25%,11.10%,8.99%,13.63%
30,Mississippi,9.47%,7.73%,11.54%,3.07%,2.03%,4.60%,13.84%,10.13%,18.63%,9.62%,7.59%,12.11%,10.20%,8.30%,12.47%
31,Missouri,9.74%,7.94%,11.91%,3.90%,2.65%,5.72%,14.95%,11.21%,19.66%,9.65%,7.58%,12.21%,10.35%,8.39%,12.71%
32,Montana,11.99%,9.67%,14.77%,4.35%,2.81%,6.68%,18.56%,13.52%,24.94%,11.85%,9.22%,15.11%,12.73%,10.24%,15.72%
33,Nebraska,10.38%,8.49%,12.63%,3.96%,2.64%,5.90%,15.25%,11.55%,19.85%,10.42%,8.22%,13.11%,11.12%,9.05%,13.58%
34,Nevada,10.63%,8.76%,12.85%,3.36%,2.12%,5.31%,14.16%,10.56%,18.74%,11.00%,8.82%,13.63%,11.38%,9.35%,13.78%
35,New Hampshire,10.85%,8.71%,13.45%,3.25%,2.06%,5.07%,17.17%,13.06%,22.25%,10.71%,8.27%,13.75%,11.51%,9.21%,14.29%
36,New Jersey,9.95%,8.09%,12.19%,2.91%,1.89%,4.46%,13.69%,10.22%,18.09%,10.24%,8.06%,12.93%,10.66%,8.64%,13.09%
37,New Mexico,11.88%,9.66%,14.54%,3.98%,2.45%,6.40%,16.71%,12.37%,22.19%,12.12%,9.51%,15.32%,12.73%,10.31%,15.63%
38,New York,10.87%,9.42%,12.51%,4.18%,2.95%,5.91%,13.83%,11.08%,17.13%,11.13%,9.44%,13.08%,11.48%,9.92%,13.24%
39,North Carolina,10.14%,8.42%,12.17%,3.07%,2.09%,4.49%,15.00%,11.41%,19.46%,10.24%,8.23%,12.67%,10.86%,8.99%,13.07%
40,North Dakota,13.45%,11.03%,16.30%,4.51%,2.78%,7.24%,19.62%,14.94%,25.35%,13.45%,10.64%,16.86%,14.40%,11.78%,17.49%
41,Ohio,9.94%,8.54%,11.54%,3.29%,2.32%,4.63%,14.63%,11.84%,17.96%,10.01%,8.37%,11.93%,10.62%,9.10%,12.36%
42,Oklahoma,10.77%,8.75%,13.19%,4.97%,3.20%,7.64%,13.60%,10.08%,18.10%,11.07%,8.69%,14.00%,11.43%,9.23%,14.06%
43,Oregon,11.63%,9.62%,13.98%,5.17%,3.44%,7.70%,16.88%,12.81%,21.92%,11.57%,9.29%,14.33%,12.22%,10.08%,14.75%
44,Pennsylvania,9.82%,8.29%,11.59%,3.11%,2.20%,4.37%,14.86%,11.67%,18.75%,9.82%,8.07%,11.90%,10.45%,8.80%,12.37%
45,Rhode Island,11.01%,8.94%,13.50%,3.04%,1.97%,4.65%,15.94%,11.80%,21.19%,11.01%,8.63%,13.95%,11.70%,9.48%,14.36%
46,South Carolina,9.03%,7.24%,11.21%,2.40%,1.55%,3.70%,12.37%,8.96%,16.82%,9.30%,7.23%,11.90%,9.69%,7.75%,12.06%
47,South Dakota,10.31%,8.29%,12.77%,3.86%,2.47%,5.98%,16.86%,12.49%,22.35%,10.13%,7.76%,13.11%,11.05%,8.84%,13.74%
48,Tennessee,9.65%,7.83%,11.83%,3.37%,2.26%,4.98%,14.39%,10.79%,18.93%,9.67%,7.57%,12.28%,10.28%,8.32%,12.65%
49,Texas,10.46%,9.21%,11.86%,3.42%,2.47%,4.70%,14.48%,11.85%,17.56%,10.78%,9.26%,12.52%,11.32%,9.93%,12.86%
50,Utah,8.05%,6.58%,9.81%,2.38%,1.47%,3.83%,12.30%,9.04%,16.52%,8.11%,6.37%,10.27%,8.85%,7.20%,10.83%
51,Vermont,12.04%,10.03%,14.39%,4.69%,3.20%,6.82%,15.94%,12.23%,20.52%,12.11%,9.76%,14.93%,12.64%,10.49%,15.16%
52,Virginia,10.49%,8.92%,12.29%,2.83%,1.97%,4.07%,16.25%,13.02%,20.10%,10.49%,8.66%,12.66%,11.26%,9.56%,13.21%
53,Washington,10.39%,8.52%,12.62%,3.58%,2.35%,5.40%,17.67%,13.43%,22.89%,10.13%,7.99%,12.76%,11.05%,9.04%,13.45%
54,West Virginia,8.38%,6.52%,10.70%,3.67%,2.32%,5.74%,11.06%,7.74%,15.57%,8.49%,6.38%,11.21%,8.81%,6.82%,11.32%
55,Wisconsin,10.69%,8.91%,12.78%,3.55%,2.43%,5.14%,14.44%,11.18%,18.45%,10.95%,8.85%,13.47%,11.42%,9.49%,13.68%
56,Wyoming,10.75%,8.62%,13.34%,3.90%,2.41%,6.26%,16.78%,12.71%,21.82%,10.72%,8.26%,13.81%,11.50%,9.18%,14.32%
