"Table 3. Marijuana Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Percentages, 2021","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2021.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"22","Kansas","12.12%","9.95%","14.68%","5.14%","3.51%","7.47%","22.98%","18.22%","28.57%","11.19%","8.90%","13.98%","12.91%","10.59%","15.66%"
"23","Kentucky","9.93%","7.90%","12.40%","5.52%","3.75%","8.05%","19.99%","15.42%","25.51%","8.90%","6.78%","11.60%","10.39%","8.24%","13.01%"
"24","Louisiana","13.00%","10.47%","16.04%","7.54%","5.12%","10.95%","29.32%","22.70%","36.94%","11.22%","8.62%","14.47%","13.60%","10.91%","16.82%"
"25","Maine","18.54%","15.32%","22.24%","8.58%","5.81%","12.49%","29.41%","23.40%","36.23%","18.13%","14.59%","22.31%","19.37%","15.97%","23.30%"
"26","Maryland","13.97%","11.52%","16.83%","5.04%","3.52%","7.17%","27.69%","21.95%","34.28%","13.04%","10.43%","16.19%","14.87%","12.25%","17.93%"
"27","Massachusetts","17.20%","14.14%","20.75%","6.50%","4.50%","9.29%","27.93%","21.70%","35.15%","16.56%","13.25%","20.50%","18.14%","14.90%","21.90%"
"28","Michigan","18.31%","16.38%","20.41%","8.58%","6.64%","11.00%","31.27%","27.09%","35.79%","17.41%","15.21%","19.85%","19.27%","17.20%","21.52%"
"29","Minnesota","12.87%","10.24%","16.05%","5.83%","3.94%","8.53%","28.53%","22.45%","35.50%","11.40%","8.68%","14.83%","13.62%","10.82%","17.01%"
"30","Mississippi","11.88%","9.44%","14.84%","7.43%","5.23%","10.46%","25.18%","19.06%","32.47%","10.34%","7.87%","13.47%","12.39%","9.80%","15.54%"
"31","Missouri","14.32%","11.45%","17.78%","7.14%","4.87%","10.35%","25.97%","20.23%","32.67%","13.40%","10.35%","17.19%","15.07%","12.02%","18.73%"
"32","Montana","15.53%","12.34%","19.37%","7.50%","4.97%","11.15%","31.39%","23.76%","40.17%","14.04%","10.81%","18.05%","16.31%","12.96%","20.34%"
"33","Nebraska","9.77%","7.72%","12.30%","4.62%","3.07%","6.91%","18.55%","14.00%","24.15%","8.97%","6.77%","11.80%","10.37%","8.17%","13.07%"
"34","Nevada","18.19%","15.12%","21.73%","7.45%","5.10%","10.76%","34.87%","28.16%","42.24%","17.20%","13.85%","21.17%","19.29%","16.01%","23.07%"
"35","New Hampshire","12.43%","9.83%","15.61%","5.44%","3.61%","8.12%","23.78%","18.51%","29.99%","11.52%","8.77%","14.98%","13.04%","10.28%","16.39%"
"36","New Jersey","11.70%","9.48%","14.37%","4.03%","2.74%","5.91%","26.55%","21.24%","32.65%","10.52%","8.15%","13.46%","12.47%","10.09%","15.33%"
"37","New Mexico","18.04%","15.06%","21.45%","9.26%","6.30%","13.41%","30.75%","24.54%","37.75%","17.16%","13.89%","21.02%","18.98%","15.82%","22.60%"
"38","New York","15.38%","13.45%","17.52%","7.11%","5.27%","9.54%","22.81%","18.89%","27.27%","15.15%","12.99%","17.60%","16.13%","14.09%","18.39%"
"39","North Carolina","9.66%","7.66%","12.10%","3.78%","2.55%","5.59%","17.64%","13.32%","22.98%","9.14%","7.04%","11.78%","10.26%","8.13%","12.87%"
"40","North Dakota","9.85%","7.40%","13.00%","4.72%","2.84%","7.75%","16.31%","11.32%","22.95%","9.31%","6.74%","12.73%","10.40%","7.81%","13.72%"
"41","Ohio","13.78%","12.07%","15.70%","7.48%","5.68%","9.79%","23.45%","19.80%","27.55%","13.06%","11.13%","15.28%","14.43%","12.59%","16.48%"
"42","Oklahoma","16.61%","13.56%","20.18%","9.74%","6.80%","13.76%","28.60%","22.46%","35.65%","15.53%","12.24%","19.51%","17.39%","14.16%","21.16%"
"43","Oregon","18.54%","15.72%","21.75%","9.87%","6.99%","13.75%","33.46%","27.17%","40.41%","17.39%","14.35%","20.90%","19.34%","16.37%","22.70%"
"44","Pennsylvania","12.61%","10.70%","14.81%","5.70%","4.18%","7.73%","21.56%","17.58%","26.17%","12.07%","9.99%","14.52%","13.26%","11.24%","15.59%"
"45","Rhode Island","17.49%","14.06%","21.56%","9.66%","6.38%","14.37%","31.15%","24.09%","39.20%","16.04%","12.50%","20.35%","18.17%","14.59%","22.39%"
"46","South Carolina","10.39%","8.06%","13.31%","4.83%","3.17%","7.29%","21.07%","15.97%","27.27%","9.49%","7.07%","12.63%","10.95%","8.48%","14.03%"
"47","South Dakota","8.39%","6.25%","11.16%","3.84%","2.36%","6.17%","16.44%","11.29%","23.32%","7.70%","5.51%","10.66%","8.91%","6.63%","11.86%"
"48","Tennessee","9.84%","7.63%","12.61%","4.55%","3.01%","6.82%","20.40%","15.38%","26.55%","8.89%","6.62%","11.86%","10.38%","8.03%","13.32%"
"49","Texas","7.71%","6.57%","9.03%","3.33%","2.30%","4.79%","16.36%","13.43%","19.78%","6.86%","5.62%","8.34%","8.24%","7.01%","9.67%"
"50","Utah","8.92%","7.21%","10.98%","3.05%","1.83%","5.04%","16.00%","12.27%","20.59%","8.39%","6.51%","10.74%","9.75%","7.88%","12.02%"
"51","Vermont","22.34%","19.14%","25.90%","10.93%","7.85%","15.02%","34.58%","28.36%","41.37%","21.44%","17.80%","25.60%","23.27%","19.88%","27.05%"
"52","Virginia","12.09%","10.21%","14.26%","5.41%","3.94%","7.39%","23.33%","19.22%","28.01%","11.15%","9.08%","13.61%","12.76%","10.75%","15.09%"
"53","Washington","18.32%","15.31%","21.77%","9.60%","6.70%","13.58%","28.58%","22.83%","35.13%","17.85%","14.58%","21.67%","19.17%","15.98%","22.81%"
"54","West Virginia","11.79%","9.20%","14.99%","5.82%","3.83%","8.74%","22.40%","17.20%","28.64%","10.93%","8.19%","14.45%","12.34%","9.61%","15.71%"
"55","Wisconsin","11.11%","9.08%","13.53%","5.52%","3.87%","7.83%","25.62%","20.84%","31.07%","9.51%","7.37%","12.20%","11.68%","9.52%","14.25%"
"56","Wyoming","10.56%","7.98%","13.84%","4.12%","2.52%","6.65%","17.59%","12.72%","23.80%","10.32%","7.51%","14.03%","11.26%","8.50%","14.78%"
